row_id,original_ref,consensus_ref,ref_used,model_h_wer_original,model_h_wer_consensus,model_h_wer_fair,model_i_wer_original,model_i_wer_consensus,model_i_wer_fair,model_k_wer_original,model_k_wer_consensus,model_k_wer_fair,model_l_wer_original,model_l_wer_consensus,model_l_wer_fair,model_m_wer_original,model_m_wer_consensus,model_m_wer_fair,model_n_wer_original,model_n_wer_consensus,model_n_wer_fair
0,वह अपन खत बड और कय,वह अपन खत बड और कय,original,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0
1,मनत क अरथ कय हत ह,मनत क अरथ कय हत ह ह,consensus,0.0,0.1429,0.0,0.0,0.1429,0.0,1.0,1.0,1.0,0.1667,0.2857,0.1667,1.0,1.0,1.0,0.3333,0.4286,0.3333
2,और रकषबधन प चल बहन क,और रकषबधन प चल बहन क क,consensus,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.3333,0.4286,0.3333,0.3333,0.4286,0.3333
3,एक सपल और सद व म,एक सपल और सद व म,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
4,आन वल चनतय क इतजर करन,आन वल चनतय क इतजर करन,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,अचनक आई मशकल क समन करन,अचनक आई मशकल क समन करन ह,consensus,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.1429,0.0,0.8333,0.8571,0.8333,0.1667,0.0,0.0
6,सर आपक इचछ जय सयरम,सर आपक इचछ जय शर आरम,consensus,0.4,0.0,0.0,0.0,0.3333,0.0,0.6,0.5,0.5,0.4,0.3333,0.3333,0.4,0.3333,0.3333,0.4,0.1667,0.1667
7,ज फडबक मलन पर सधर करन,ज फडबक मलन पर सधर करन,original,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.1667,0.1667,0.1667
8,ज एक महतवपरण भमक नभत ह,ज एक महतवपरण भमक नभत ह,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,जवन क चनतय क समन करन,जवन क चनतय क समन करन,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,हमम बहत पयर हरट रहत ह सबक,बहत पयर हरट रहत ह सबक सबक,consensus,0.1429,0.1429,0.1429,0.0,0.2857,0.0,0.4286,0.4286,0.4286,0.2857,0.2857,0.2857,0.2857,0.2857,0.2857,0.1429,0.1429,0.1429
11,पज और पररथन म शमल हन,पज और पररथन म शमल हन,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.1667,0.1667,0.0,0.0,0.0
12,डश बनत ह व टरडशनल डशस बनत ह त कछ कछ अपन भ वस ह ह न अपन भ कछ अनहलद नह खत ह न त अपन कछ ऐस अलग अलग दशओ म गय ह ऐस कछ हमर लए त नह ह य,डश बनत ह व टरडशनल डशस बनत ह त कछ कछ अपन भ वस ह ह न अपन भ कछ अनहलद नह खत ह न त अपन कछ ऐस अलग अलग दशओ म गय ह ऐस कछ हमर लए त नह ह य,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0465,0.0465,0.0465,0.1163,0.1163,0.1163,0.0698,0.0698,0.0698
