recording_id,user_id,segment_start,segment_end,disfluency_type,transcription_snippet,audio_url,audio_segment_path
825780,245746,52.7,66.83,repetition,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै सात में इतना,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,89.06,103.19,repetition,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,130.25,144.83,filler,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,146.18,158.21,repetition,अराम से हां आराम से सो रहे थे हम और पता है जब उठे ना तो ऐसे उन लोग चिला रहे थे तो मेको समझ में आ नहीं रहा था कि क्या बोल रहे ऐसे हुर कुछ हुर कुछ के बदक बदक उड़न्टा साथ कुछ रहे थे,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,160.67,173.24,filler,बहुत अजीब सा अनुभव था क्योंकि वो पता है उठा उठा के उनको पटक रहे थे बार बार और वो किस भाषा में बात कर रहे थे मुझे समझ में नहीं आ रही थे तो जो हमारे गार्ड अंकल थे न वो आके फिर बताए कि नहीं नहीं ये लोग।,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,178.34,190.85,repetition,"हां बाहरी आ गया तो, वहां के जो थे ना वो अपने भाषा में कुछ बात किए तो हमको तो कुछ समझ में नहीं आया, लेकिन वो अपने भाषा में बात कर रहे थे तो फिर फिर पता है हम को छोड़ दिए फिर घर घर तो नहीं।",https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825780,245746,257.66,264.08,repetition,पता है लेकिन जब लोग घूमने जाते हैं तो लाइट वगैरा लेकर जाने चाहिए हम ने मिस्टेक किए कि हम लाइट नहीं ले गए थे,https://storage.googleapis.com/upload_goai/967179/825780_audio.wav,
825727,291038,67.19,74.48,repetition,जी डर डर डर लगा,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,101.36,104.18,filler,जी जी जी आह,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,143.15,148.1,repetition,हा उठा के सीधे आप सोई हुए थे आप सोई हुए थे आपको सोई हुए टांक की लिया है बाहर,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,166.28,173.12,filler,हाहाहाआपको डर भी लग रहा होगा और अजीब ही अहम हुआ था डर भी लग रहा था,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,199.1,214.01,filler,अच्छा अच्छा अह जहां तक मेरा एक्सपीरियंस रहा है कि अगर जंगलों या हिल स्टेशन पर कैंम्पिंग करने की योजना बनाये तो हमने एक बार जो नेपाल का जंगल है नेपाल में काफी कुख्यात जंगल है,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,231.2,246.08,filler,जी जी जी तो मैं बता रहा हूँ न तो हम हम लोग गए थे अह्ह्ह तो वो मतलब बिहार ओर भारत के मतलब भारत ओर गुरु उसके बॉर्डर पे था तो हम लोग जब कैंपिंग करने गए थे अह्ह् कैंपिंग करने गये तो हम लोगो ने मतलब ऐसे घूमने की घूमने की अहह मतलब हम जंगल घूमने गए थे,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,231.2,246.08,repetition,जी जी जी तो मैं बता रहा हूँ न तो हम हम लोग गए थे अह्ह्ह तो वो मतलब बिहार ओर भारत के मतलब भारत ओर गुरु उसके बॉर्डर पे था तो हम लोग जब कैंपिंग करने गए थे अह्ह् कैंपिंग करने गये तो हम लोगो ने मतलब ऐसे घूमने की घूमने की अहह मतलब हम जंगल घूमने गए थे,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,262.97,276.47,repetition,जी जी जी वो तो मतलब जरूरी जरूरी चीजे मैं लेके जैसे मै था हम लोगों का पहला बार था तो उतना एक्सपीरियंस नहीं था जो हम लोग वीडियो से देख कर सीखा था वही लेकर हम लोग गए थे वही लेकर हम लोग कैंपिंग किए थे जंगल में मिजोरम में जंगल घूमने गए थे तो क्या हुआ कि मैं आपको बता रहा हूं,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,306.44,314.36,repetition,जो ह जो भी हमारे जो भी हमारे चीट हम लोके गए थे लो के लेके गए थे हाँ तो वहां पे जब हम लोग सोए थे रात को तो स सा मतलब,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,314.42,327.53,filler,शेर की दहाड़ने की आवाज आ रही थी। लोग काफी मतलब भयानक चीज़ मुझ लग रहा था कि शेर कब आएगा। कब मतलब पूरी इसकी चक्कर में पूरी रात सोन नहीं पाए तो काफी मतलब डरावना और काफी मतलब डरावना बोले और मज़ेदार दोनों,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,314.42,327.53,repetition,शेर की दहाड़ने की आवाज आ रही थी। लोग काफी मतलब भयानक चीज़ मुझ लग रहा था कि शेर कब आएगा। कब मतलब पूरी इसकी चक्कर में पूरी रात सोन नहीं पाए तो काफी मतलब डरावना और काफी मतलब डरावना बोले और मज़ेदार दोनों,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
825727,291038,342.47,355.79,repetition,तंबू और खाना जैसे जरूरी चीजों को पैक करना तो जहां तक मुझे याद है तो हम लोगों ने जो वीडियो विडोज़ देखे थे उसके थ्रू हमने ओनलाइन तंबू मंगाया था तंबू लेके गए थे लोग और एक मजा एक चीज होता है ना कि अब,https://storage.googleapis.com/upload_goai/967179/825727_audio.wav,
988596,246004,202.61,205.25,filler,आपकी आवाज़ थोड़ी कट कट के आ रही है,https://storage.googleapis.com/upload_goai/1147542/988596_audio.wav,
988596,246004,202.61,205.25,repetition,आपकी आवाज़ थोड़ी कट कट के आ रही है,https://storage.googleapis.com/upload_goai/1147542/988596_audio.wav,
988596,246004,282.74,296.0,repetition,तो जो हर स्कूल में होती है ना दाई तो फिर हम लोगों को थोड़ा सा यह सब मतलब लंच चेक करके उसको मम्मी ज्यादा पैसे देती थी कोशिश ना कि आप लोग आप तो यह चेक कर लीजिएगा कि लोग खा रही है कि नहीं तो यह सब होता था।,https://storage.googleapis.com/upload_goai/1147542/988596_audio.wav,
988596,246004,325.07,337.13,repetition,लेकिन हम लोगो को हम लोग हमेशा उधर ही खेलने जाते थे तो उस उस चक्कर में फिर एक दिन मम्मी बैठा के हम लोगों को इतना डरावनी डरावनी कहानिया सुना दी फिर उसके बाद फिर हम लोग उधर से जाना ही छोड़ दिए और,https://storage.googleapis.com/upload_goai/1147542/988596_audio.wav,
988596,246004,337.22,351.44,repetition,ऐसा हो गया था डर के मारे कि उधर देखते भी थे न तो जितनी भी कहानियां बताईं थी मम्मी तो वो सब नजर आता था वहां पे तो हम लोग उसके बाद बहुत डर डर के रहते थे और उधर नहीं जा मतलब मम्मी का जो काम था न वो हो गया कि नहीं जाने वह कितना भी मना की तो नहीं माने,https://storage.googleapis.com/upload_goai/1147542/988596_audio.wav,
990175,93626,36.2,50.84,filler,पराठा हो गए फिर सब्जी हो गया तो मुझे ना वो उतनी अच्छी नहीं लगती थी तो फिर क्या करती थी या तो मैं आपनी बेस्ट फ्रेंड को खिला देती थी या फिर हम लोग क्या करते थे कि जैसे अह मतलब होता है ना कि क्लास मे बहुत लोग ऐसे होते हैं कि उनको अपना लंच नहीं चलते दूसरों का लंच अच्छा,https://storage.googleapis.com/upload_goai/1147542/990175_audio.wav,
